2025-09-03 12:51:08,008 - INFO - INFO - 🚀 Starting Endpoint Security Monitor
2025-09-03 12:51:09,524 - INFO - INFO - ✅ Application initialized successfully. Starting main loop...
2025-09-03 12:51:23,660 - INFO - WARNING - Geo queue full, skipping IP: 104.18.31.80
2025-09-03 12:51:23,661 - INFO - WARNING - Geo queue full, skipping IP: 34.107.140.113
2025-09-03 12:51:23,663 - INFO - WARNING - Geo queue full, skipping IP: 35.71.178.8
2025-09-03 12:51:23,664 - INFO - WARNING - Geo queue full, skipping IP: 142.250.77.225
2025-09-03 12:51:23,665 - INFO - WARNING - Geo queue full, skipping IP: 67.199.150.82
2025-09-03 12:51:23,666 - INFO - WARNING - Geo queue full, skipping IP: 142.250.193.46
2025-09-03 12:51:23,667 - INFO - WARNING - Geo queue full, skipping IP: 142.250.183.226
2025-09-03 12:51:23,668 - INFO - WARNING - Geo queue full, skipping IP: 69.173.158.92
2025-09-03 12:51:23,670 - INFO - WARNING - Geo queue full, skipping IP: 13.224.254.89
2025-09-03 12:51:23,671 - INFO - WARNING - Geo queue full, skipping IP: 142.250.193.10
2025-09-03 12:51:23,672 - INFO - WARNING - Geo queue full, skipping IP: 142.251.43.110
2025-09-03 12:51:23,674 - INFO - WARNING - Geo queue full, skipping IP: 172.217.27.168
2025-09-03 12:51:23,675 - INFO - WARNING - Geo queue full, skipping IP: 23.63.111.43
2025-09-03 12:51:23,676 - INFO - WARNING - Geo queue full, skipping IP: 142.250.193.42
2025-09-03 12:51:23,678 - INFO - WARNING - Geo queue full, skipping IP: 34.117.59.81
2025-09-03 12:51:23,679 - INFO - WARNING - Geo queue full, skipping IP: 20.189.173.5
2025-09-03 12:51:23,681 - INFO - WARNING - Geo queue full, skipping IP: 193.0.6.151
2025-09-03 12:51:23,682 - INFO - WARNING - Geo queue full, skipping IP: 40.104.68.114
2025-09-03 12:51:23,683 - INFO - WARNING - Geo queue full, skipping IP: 199.71.0.160
2025-09-03 12:51:23,684 - INFO - WARNING - Geo queue full, skipping IP: 142.250.182.106
2025-09-03 12:51:23,685 - INFO - WARNING - Geo queue full, skipping IP: 172.217.26.34
2025-09-03 12:51:23,685 - INFO - WARNING - Geo queue full, skipping IP: 198.8.71.131
2025-09-03 12:51:23,688 - INFO - WARNING - Geo queue full, skipping IP: 34.36.214.49
2025-09-03 12:51:23,689 - INFO - WARNING - Geo queue full, skipping IP: 54.169.90.152
2025-09-03 12:51:23,690 - INFO - WARNING - Geo queue full, skipping IP: 142.250.77.227
2025-09-03 12:51:23,692 - INFO - WARNING - Geo queue full, skipping IP: 142.251.43.162
2025-09-03 12:51:23,693 - INFO - WARNING - Geo queue full, skipping IP: 216.58.200.206
2025-09-03 12:51:23,695 - INFO - WARNING - Geo queue full, skipping IP: 142.251.43.162
2025-09-03 12:51:23,696 - INFO - WARNING - Geo queue full, skipping IP: 34.111.152.239
2025-09-03 12:51:23,697 - INFO - WARNING - Geo queue full, skipping IP: 35.213.183.23
2025-09-03 12:51:23,699 - INFO - WARNING - Geo queue full, skipping IP: 34.96.70.87
2025-09-03 12:51:23,701 - INFO - WARNING - Geo queue full, skipping IP: 172.66.1.242
2025-09-03 12:51:23,703 - INFO - WARNING - Geo queue full, skipping IP: 142.250.193.10
2025-09-03 12:51:23,704 - INFO - WARNING - Geo queue full, skipping IP: 104.18.27.193
2025-09-03 12:51:23,705 - INFO - WARNING - Geo queue full, skipping IP: 104.17.198.65
2025-09-03 12:51:23,708 - INFO - WARNING - Geo queue full, skipping IP: 142.251.43.162
